date,text,pos_tagged
2022-12-02 13:03:00,네이버 폭락 예고,"[('네이버', 'Noun'), ('폭락', 'Noun'), ('예고', 'Noun')]"
2022-12-02 13:02:00,아님 싸게 살까,"[('아님', 'Adjective'), ('싸게', 'Verb'), ('살까', 'Verb')]"
2022-12-02 12:56:00,고평가 주식을 좋다고 사누,"[('고', 'Modifier'), ('평가', 'Noun'), ('주식', 'Noun'), ('을', 'Josa'), ('좋다고', 'Adjective'), ('사', 'Modifier'), ('누', 'Noun')]"
2022-12-02 12:51:00,나스닥 10퍼는 올라야 대것다,"[('나스닥', 'Noun'), ('10', 'Number'), ('퍼', 'Noun'), ('는', 'Josa'), ('올', 'Modifier'), ('라야', 'Noun'), ('대것다', 'Verb')]"
2022-12-02 12:22:00,1년만 기다려,"[('1년', 'Number'), ('만', 'Foreign'), ('기다려', 'Verb')]"
2022-12-02 12:07:00,폭락예상,"[('폭락', 'Noun'), ('예상', 'Noun')]"
2022-12-02 11:52:00,머시기 중고 싸이트,"[('머시기', 'Adjective'), ('중고', 'Noun'), ('싸이트', 'Noun')]"
2022-12-02 12:34:00,머시기 중고 싸이트,"[('머시기', 'Adjective'), ('중고', 'Noun'), ('싸이트', 'Noun')]"
2022-12-02 11:42:00,미선물지수 계속 떨어지네,"[('미', 'Adjective'), ('선물지수', 'Noun'), ('계속', 'Noun'), ('떨어지네', 'Verb')]"
2022-12-02 11:34:00,내년 3월 금리 05 인상합니다 튀세요,"[('내년', 'Noun'), ('3월', 'Number'), ('금리', 'Noun'), ('05', 'Number'), ('인상', 'Noun'), ('합니다', 'Verb'), ('튀세요', 'Verb')]"
2022-12-02 11:33:00,배당금이,"[('배당금', 'Noun'), ('이', 'Josa')]"
2022-12-02 11:06:00,튤립버스코인그담은,"[('튤립', 'Noun'), ('버스', 'Noun'), ('코인', 'Noun'), ('그', 'Determiner'), ('담', 'Noun'), ('은', 'Josa')]"
2022-12-02 10:56:00,개미털기,"[('개미', 'Noun'), ('털기', 'Verb')]"
2022-12-02 10:49:00,팍팍 올라가자,"[('팍팍', 'Adverb'), ('올라가자', 'Verb')]"
2022-12-02 10:46:00,금리 인상으로 8만원갑니다,"[('금리', 'Noun'), ('인상', 'Noun'), ('으로', 'Josa'), ('8만원', 'Number'), ('갑니다', 'Foreign')]"
2022-12-02 10:34:00,어어,"[('어어', 'Noun')]"
2022-12-02 10:27:00,올해 초 30만원대   물렸으나,"[('올해', 'Noun'), ('초', 'Noun'), ('30만원', 'Number'), ('대', 'Foreign'), ('물렸으나', 'Verb')]"
2022-12-02 10:06:00,한국에서 보수는 매국노를 말한다,"[('한국', 'Noun'), ('에서', 'Josa'), ('보수', 'Noun'), ('는', 'Josa'), ('매국노', 'Noun'), ('를', 'Josa'), ('말', 'Noun'), ('한다', 'Verb')]"
2022-12-02 10:05:00,에라이 등삼봐리야,"[('에', 'Josa'), ('라이', 'Noun'), ('등삼', 'Noun'), ('봐', 'Verb'), ('리야', 'Noun')]"
2022-12-02 09:59:00,쇼피파이Z홀딩스 연일상승,"[('쇼', 'Noun'), ('피파', 'Noun'), ('이', 'Suffix'), ('Z', 'Alpha'), ('홀딩스', 'Noun'), ('연일', 'Noun'), ('상승', 'Noun')]"
2022-12-02 09:57:00,다이빙 점프,"[('다이빙', 'Noun'), ('점프', 'Noun')]"
2022-12-02 09:52:00,처박기 시작하네,"[('처', 'Noun'), ('박기', 'Verb'), ('시작', 'Noun'), ('하네', 'Verb')]"
