date,text
2022-12-08 07:15:00,강신업이가 거니사랑팬클럽 회장이라 이리 설칠까 아님 거니의 약점을 잡아흔드니 거니가 용인하는걸까 통을 알로보는듯한데
2022-12-07 19:34:00,공매도개혁하며 정치안정이나 신경써라 논두령시계조작 BBK조작 테블릿조작 다 개금찰 너들짓
2022-12-07 17:36:00,코스피 전망 궁금하시죠
2022-12-07 17:07:00,미선물 또급락 나오네요
2022-12-07 16:58:00,내리막 달리는삼바를탈것인가
2022-12-07 15:23:00,내글보고 엔씨잡았으면 손실
2022-12-07 15:16:00,요즘 마스터 천공스승 유에서 떠들어대는거나 거니팬클럽 회장 강신업이가 당대표
2022-12-07 15:12:00,오늘은 이정도로 마무리하고운명공동체인 박영수  한동후니 박그네재드라곤 조작날조수사기소에다
2022-12-07 14:31:00,매수할게요 천주
2022-12-07 13:45:00,공매도쉑히덜 78만80만원까지 보수적으로 열어두고 물량 담을 예정이라니 못내리겄지
2022-12-07 13:33:00,목표가 제시
2022-12-07 13:29:00,물려도지금은
2022-12-07 13:23:00,추세가 하락인데 어쩌자고
2022-12-07 12:56:00,언능나와요 기회줄때
2022-12-07 12:52:00,이 한동후니 당대표설에 선그으며 정색하는 이유한동후니가 정치하다 통수때릴까
2022-12-07 10:37:00,삭제된 게시물의 답글나오셔요 뒤돌아보지말고
2022-12-07 10:27:00,공매도님들 보셔요 형은 78만80만원까지 보수적으로 열어두고 너들 던지는 물량 담을 예정이다
2022-12-07 10:26:00,지금보면 갈종목들 정해졌죠
2022-12-07 10:17:00,전글
2022-12-07 09:51:00,몇일전에 황제주간다고 기사뜬거 봤었는데
2022-12-07 10:15:00,난 증권사서 100만돌파한다고
2022-12-07 09:38:00,사이비찌라시언론과공매도가한편이여
2022-12-07 09:38:00,중국 본격 위드코로나 들어가고 뜬금 mRNA 백신 매출 급증할수도그걸알고 공매도쉑히덜 개미털기
2022-12-07 09:34:00,오늘은 관망하며 공매도쉑히덜이 좋은 가격만들듯하니 분할매수 재개
2022-12-07 09:25:00,대응
2022-12-07 09:27:00,몬소린지
2022-12-07 09:22:00,이거 왜케 빠져
2022-12-07 09:20:00,오늘80만 깨지느냐가 관건
2022-12-07 09:19:00,죽일넘의신한투자증권
2022-12-07 09:15:00,흐름좋은종목 보셔요
2022-12-07 09:18:00,흐름좋은종목 보셔요
2022-12-07 09:06:00,지금이라도 탈출하셔요
2022-12-07 08:26:00,Valc님 어디갔어요
2022-12-07 08:09:00,200 가즈아
2022-12-07 07:44:00,종지가 무너지는데 삼바만
2022-12-07 07:13:00,오늘 곡소리 커질듯
2022-12-06 20:14:00,오죽했으면 동내 술주정꾼 보다도 못하다고 보수쪽에서 탄식을 하다고 합니다
2022-12-06 20:40:00,삭제된 게시물의 답글쌈바 투자하면서 부끄럽지도 않나 박영수  한동후니 개금찰들이 겁도업시 박그네랑 재드라곤회장님 조작날조수사기소
2022-12-06 19:52:00,코스피 전망 궁금하시죠
2022-12-06 19:39:00,진짜 박영수  한도후니가 박그네 골로 보낼때랑 지금이랑 상황이 거진 유사한듯
2022-12-06 19:27:00,좌우지간주는60일선깨면
2022-12-06 18:22:00,강신업  말은 듣는다제2의 박정희 것 마스터 천공스승에 거니사랑팬클럽 회장까지
2022-12-06 18:17:00,필독 시외 단일가봤죠
2022-12-06 18:21:00,파동에 원리를 제대로아는지
2022-12-06 17:19:00,52조 블록버스터 특허 만료 삼성에피스 시장선점 뛰어든다
2022-12-06 15:31:00,피스 가만히 있었으면 돈벌었는데
2022-12-06 14:26:00,자자 게시판 공매도쉑히덜 공견글 많아지는게 녀석즐이 초초해하는게 보이시죠
2022-12-06 14:30:00,부자되어 봅시다그지로
2022-12-06 14:47:00,불쌍한 공매도쉑히덜의 공견그지
2022-12-06 14:26:00,언능탈출들하셔요 후회말고
2022-12-06 14:16:00,오늘 물타기한 호구없겠죠
2022-12-06 14:13:00,주가가 환율이랑 비례하는 듯
2022-12-06 13:56:00,영희랑 놀면서
2022-12-06 14:11:00,종가에시촛가
2022-12-06 13:29:00,이걸 싸다고오늘
2022-12-06 13:21:00,20일선 아래있는종목
2022-12-06 13:17:00,대응
2022-12-06 13:06:00,지금은 적어도20일선지지
2022-12-06 12:50:00,빨리나와요 손실키우지말고
2022-12-06 12:37:00,필독 견조한 흐름 두종목
2022-12-06 12:05:00,믿었던 삼바가 이렇게될줄
2022-12-06 11:31:00,필독주가가240일선 1년전으로
2022-12-06 11:23:00,삼바는 어제끝난거임 왜
2022-12-06 11:21:00,난little peace
2022-12-06 11:14:00,삼바보다 차라리
2022-12-06 11:06:00,필독 기술적반등임 단타걸이
2022-12-06 11:05:00,주가방어 해주네
2022-12-06 11:02:00,피스
2022-12-06 10:13:00,오늘 삼바 오르는 이유 알려준다
2022-12-06 09:36:00,언능들 나와요 살짝
2022-12-06 09:44:00,삭제된 게시물의 답글가자 삼바
2022-12-06 08:17:00,여기가 대한민국을 41로 이긴 삼바의 나라입니까
2022-12-06 06:59:00,2년 조정후 횡보구간
2022-12-06 06:16:00,240일선 1년평균값을 그냥
2022-12-06 05:08:00,어제 입성하신 분 축하
2022-12-06 06:00:00,어제 입성하신 분 축하
2022-12-06 02:50:00,나스닥 확끈허게 빠지네
2022-12-05 23:45:00,증권사에서 전화오고100만
2022-12-05 22:29:00,미선물 급락중 낼장 또
2022-12-05 21:15:00,속보
2022-12-05 20:24:00,매수 시점은
2022-12-05 19:13:00,90만일 익절했는데
2022-12-06 03:51:00,80전후가 포인트지만
2022-12-05 19:10:00,1주일 전부터
2022-12-05 19:08:00,금투세 가지고 염병하지 할고
2022-12-05 17:58:00,삼빠삼빠삼바삼빠
2022-12-05 17:40:00,창원개미 강의 보고 매수한 손
2022-12-05 15:27:00,다음주 
2022-12-05 15:23:00,종가라도 탈출하셔요
2022-12-05 15:16:00,앞으로의 종가 예측
2022-12-05 15:08:00,이유
2022-12-05 15:03:00,그냥 주저앉아버리네요
2022-12-05 14:56:00,오르고내리고  신경쓰지마라
2022-12-05 14:54:00,낼도급락자리  언능
2022-12-05 14:54:00,줍 줍 줍
2022-12-05 14:44:00,줍 줍
2022-12-05 14:21:00,오늘  마감
2022-12-05 14:16:00,원달러 환율 급락
2022-12-05 14:14:00,도망챠
2022-12-05 14:14:00,백신은 뭐래도 한국제품이 최고
